Months,Month_Num,Day of month,Count
Jan,1,1,65
Jan,1,2,59
Jan,1,3,53
Jan,1,4,98
Jan,1,5,80
Jan,1,6,86
Jan,1,7,79
Jan,1,8,49
Jan,1,9,53
Jan,1,10,100
Jan,1,11,66
Jan,1,12,121
Jan,1,13,92
Jan,1,14,89
Jan,1,15,55
Jan,1,16,80
Jan,1,17,61
Jan,1,18,73
Jan,1,19,67
Jan,1,20,56
Jan,1,21,74
Jan,1,22,65
Jan,1,23,69
Jan,1,24,57
Jan,1,25,66
Jan,1,26,64
Jan,1,27,90
Jan,1,28,64
Jan,1,29,58
Jan,1,30,59
Jan,1,31,107
Feb,2,1,101
Feb,2,2,78
Feb,2,3,63
Feb,2,4,74
Feb,2,5,66
Feb,2,6,97
Feb,2,7,95
Feb,2,8,94
Feb,2,9,121
Feb,2,10,104
Feb,2,11,94
Feb,2,12,123
Feb,2,13,66
Feb,2,14,56
Feb,2,15,88
Feb,2,16,73
Feb,2,17,92
Feb,2,18,56
Feb,2,19,79
Feb,2,20,114
Feb,2,21,73
Feb,2,22,53
Feb,2,23,46
Feb,2,24,30
Feb,2,25,45
Feb,2,26,37
Feb,2,27,54
Feb,2,28,50
Mar,3,1,49
Mar,3,2,29
Mar,3,3,27
Mar,3,4,30
Mar,3,5,16
Mar,3,6,40
Mar,3,7,85
Mar,3,8,92
Mar,3,9,76
Mar,3,10,70
Mar,3,11,70
Mar,3,12,27
Mar,3,13,28
Mar,3,14,78
Mar,3,15,57
Mar,3,16,34
Mar,3,17,47
Mar,3,18,46
Mar,3,19,45
Mar,3,20,37
Mar,3,21,68
Mar,3,22,58
Mar,3,23,40
Mar,3,24,80
Mar,3,25,56
Mar,3,26,62
Mar,3,27,42
Mar,3,28,46
Mar,3,29,56
Mar,3,30,51
Mar,3,31,57
Apr,4,1,51
Apr,4,2,52
Apr,4,3,56
Apr,4,4,37
Apr,4,5,57
Apr,4,6,50
Apr,4,7,44
Apr,4,8,57
Apr,4,9,37
Apr,4,10,49
Apr,4,11,41
Apr,4,12,40
Apr,4,13,72
Apr,4,14,54
Apr,4,15,77
Apr,4,16,71
Apr,4,17,45
Apr,4,18,56
Apr,4,19,56
Apr,4,20,69
Apr,4,21,77
Apr,4,22,47
Apr,4,23,54
Apr,4,24,38
Apr,4,25,61
Apr,4,26,47
Apr,4,27,47
Apr,4,28,59
Apr,4,29,48
Apr,4,30,57
May,5,1,28
May,5,2,38
May,5,3,46
May,5,4,45
May,5,5,61
May,5,6,43
May,5,7,36
May,5,8,59
May,5,9,33
May,5,10,45
May,5,11,51
May,5,12,43
May,5,13,28
May,5,14,28
May,5,15,32
May,5,16,40
May,5,17,40
May,5,18,54
May,5,19,84
May,5,20,65
May,5,21,34
May,5,22,45
May,5,23,45
May,5,24,73
May,5,25,35
May,5,26,34
May,5,27,49
May,5,28,36
May,5,29,29
