Neighborhood,Interview Count
French Quarter,"1,836"
Central Business District,"1,449"
Little Woods,974
Seventh Ward,795
Central City,754
Lakeview,685
Mid-City,444
Leonidas,431
St Claude,413
Tall Timbers,394
Broadmoor,361
Tulane Gravier,345
Gentilly Terrace,325
Lower Ninth Ward,291
Behrman,254
Viavant,251
Milan,232
Lower Garden District,223
Bayou St John,219
Gert Town,208
St Roch,198
Holly Grove,193
Old Aurora,192
Treme,183
Marlyville,149
West Lake Forest,146
Plum Orchard,144
Desire Area,138
Village de L'Est,136
Audubon,135
Fontainebleau,126
Gentilly Woods,119
Whitney,109
City Park,103
Bywater,100
Fillmore,90
Holy Cross,89
West End,88
Read Boulevard East,86
Lake Terrace & Oaks,85
Dillards,82
Read Boulevard West,79
Pines Village,73
Uptown,72
Fairgrounds,66
Iberville,66
Marigny,65
New Aurora,59
Brechtel,55
McDonough,49
Freret,48
West Riverside,48
Milneburg,45
East Carrollton,42
Lake Vista,40
Ponchartrain Park,39
Navarre,38
St Thomas Development Neighborhood,37
St Bernard Area,33
Touro,32
Venetian Isles,29
Garden District,24
Irish Channel,24
United States Naval Base,23
Lake Shore,22
Lakewood,21
Desire Development Neighborhood,20
St Anthony,20
BW Cooper,19
East Riverside,18
Algiers Point,17
Dixon,9
Fischer Development Neighborhood,8
Florida Area,7
Black Pearl,6
Lake Catherine,5
English Turn,1
Florida Development Neighborhood,1
