Neighborhood,SubjectRace,Count
Algiers Point,BLACK,10
Algiers Point,WHITE,5
Audubon,BLACK,64
Audubon,WHITE,66
Bayou St John,BLACK,144
Bayou St John,WHITE,66
Behrman,BLACK,219
Behrman,WHITE,23
Black Pearl,BLACK,1
Black Pearl,WHITE,5
Brechtel,BLACK,45
Brechtel,WHITE,8
Broadmoor,BLACK,302
Broadmoor,WHITE,49
BW Cooper,BLACK,13
BW Cooper,WHITE,4
Bywater,BLACK,64
Bywater,WHITE,32
Central Business District,BLACK,911
Central Business District,WHITE,474
Central City,BLACK,609
Central City,WHITE,120
City Park,BLACK,59
City Park,WHITE,37
Desire Area,BLACK,113
Desire Area,WHITE,22
Desire Development Neighborhood,BLACK,20
Desire Development Neighborhood,WHITE,0
Dillards,BLACK,75
Dillards,WHITE,4
Dixon,BLACK,7
Dixon,WHITE,1
East Carrollton,BLACK,23
East Carrollton,WHITE,19
East Riverside,BLACK,10
East Riverside,WHITE,8
English Turn,BLACK,0
English Turn,WHITE,1
Fairgrounds,BLACK,55
Fairgrounds,WHITE,11
Fillmore,BLACK,77
Fillmore,WHITE,12
Fischer Development Neighborhood,BLACK,5
Fischer Development Neighborhood,WHITE,2
Florida Area,BLACK,6
Florida Area,WHITE,0
Florida Development Neighborhood,BLACK,1
Florida Development Neighborhood,WHITE,0
Fontainebleau,BLACK,57
Fontainebleau,WHITE,52
French Quarter,BLACK,"1,202"
French Quarter,WHITE,556
Freret,BLACK,28
Freret,WHITE,18
Garden District,BLACK,17
Garden District,WHITE,7
Gentilly Terrace,BLACK,262
Gentilly Terrace,WHITE,54
Gentilly Woods,BLACK,113
Gentilly Woods,WHITE,4
Gert Town,BLACK,162
Gert Town,WHITE,32
Holly Grove,BLACK,167
Holly Grove,WHITE,18
Holy Cross,BLACK,62
Holy Cross,WHITE,25
Iberville,BLACK,48
Iberville,WHITE,12
Irish Channel,BLACK,14
Irish Channel,WHITE,9
Lake Catherine,BLACK,2
Lake Catherine,WHITE,3
Lake Shore,BLACK,9
Lake Shore,WHITE,9
Lake Terrace & Oaks,BLACK,66
Lake Terrace & Oaks,WHITE,15
Lake Vista,BLACK,10
Lake Vista,WHITE,29
Lakeview,BLACK,230
Lakeview,WHITE,422
Lakewood,BLACK,7
Lakewood,WHITE,13
Leonidas,BLACK,324
Leonidas,WHITE,86
Little Woods,BLACK,833
Little Woods,WHITE,77
Lower Garden District,BLACK,130
Lower Garden District,WHITE,78
Lower Ninth Ward,BLACK,222
Lower Ninth Ward,WHITE,64
Marigny,BLACK,40
Marigny,WHITE,23
Marlyville,BLACK,96
Marlyville,WHITE,43
McDonough,BLACK,38
McDonough,WHITE,5
Mid-City,BLACK,287
Mid-City,WHITE,132
Milan,BLACK,152
Milan,WHITE,72
Milneburg,BLACK,37
Milneburg,WHITE,7
Navarre,BLACK,16
Navarre,WHITE,19
New Aurora,BLACK,51
New Aurora,WHITE,5
Old Aurora,BLACK,151
Old Aurora,WHITE,29
Pines Village,BLACK,67
Pines Village,WHITE,5
Plum Orchard,BLACK,117
Plum Orchard,WHITE,9
Ponchartrain Park,BLACK,33
Ponchartrain Park,WHITE,6
Read Boulevard East,BLACK,66
Read Boulevard East,WHITE,12
Read Boulevard West,BLACK,68
Read Boulevard West,WHITE,8
Seventh Ward,BLACK,610
Seventh Ward,WHITE,160
St Anthony,BLACK,18
St Anthony,WHITE,2
St Bernard Area,BLACK,28
St Bernard Area,WHITE,3
St Claude,BLACK,328
St Claude,WHITE,74
St Roch,BLACK,146
St Roch,WHITE,49
St Thomas Development Neighborhood,BLACK,33
St Thomas Development Neighborhood,WHITE,4
Tall Timbers,BLACK,323
Tall Timbers,WHITE,49
Touro,BLACK,20
Touro,WHITE,12
Treme,BLACK,142
Treme,WHITE,35
Tulane Gravier,BLACK,241
Tulane Gravier,WHITE,86
United States Naval Base,BLACK,17
United States Naval Base,WHITE,6
Uptown,BLACK,47
Uptown,WHITE,23
Venetian Isles,BLACK,22
Venetian Isles,WHITE,3
Viavant,BLACK,212
Viavant,WHITE,26
Village de L'Est,BLACK,80
Village de L'Est,WHITE,41
West End,BLACK,17
West End,WHITE,67
West Lake Forest,BLACK,134
West Lake Forest,WHITE,6
West Riverside,BLACK,33
West Riverside,WHITE,13
Whitney,BLACK,85
Whitney,WHITE,19
