Incident Type,Complaint Tracking Number,Date Complaint Occurred,Date Complaint Received by NOPD (PIB),Date Complaint Investigation Complete,Complaint classification,Investigation status,Disposition,Bureau of Complainant,Division of Complainant,Unit of Complainant,Unit Additional Details of Complainant,Working Status of Complainant,Shift of Complainant,Rule Violation,Paragraph Violation,Unique Officer Allegation ID,Officer Race Ethnicity,Officer Gender,Officer Age,Officer years of service,Complainant Gender,Complainant Ethnicity,Complainant Age
Public Initiated,2016-0001-P,2016-01-01,2016-01-01,2016-07-21,DI-1,Completed,Unfounded,,8th District,,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,30664,,,,,Male,Black,
Public Initiated,2016-0002-P,2016-01-02,2016-01-01,2016-08-03,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Night Watch,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,30667,Black,Male,60,,Female,White,
Public Initiated,2016-0002-P,2016-01-02,2016-01-01,2016-08-03,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Night Watch,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,30669,Black,Male,44,,Female,White,
Public Initiated,2016-0009-P,2016-01-04,2016-01-04,2017-03-20,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,8th District,Patrol,Regular Working,Between 3pm-11pm,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,30671,White,Male,30,,,,
Public Initiated,2016-0006-P,2016-12-30,2016-01-04,2016-07-25,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,Command Staff,Admin,,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,30674,Black,Male,54,,Female,Black,50
Public Initiated,2016-0007-P,2015-12-30,2016-01-04,2016-07-25,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Communications Division,Admin,,Regular Working,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,30675,Black,Male,53,,Female,Black,49
Public Initiated,2016-0010-N,2016-01-04,2016-01-05,2016-02-25,NFIM,Completed,NFIM,,Unknown District/Division,,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31016,,,,,Male,White,42
Rank Initiated,2016-0004-R,2016-01-02,2016-01-07,2017-03-27,DI-1,Completed,Other,FOB - Field Operations Bureau,2nd District,C Platoon,,,,RULE 7: DEPT PROPERTY,PARAGRAPH 03 - CLEANLINESS OF DEPARTMENT EQUIPMENT,30752,Black,Male,47,,,,
Public Initiated,2016-0003-P,2016-01-02,2016-01-04,2016-06-09,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,4th District,2nd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,30776,Black,Male,44,,Male,White,58
Public Initiated,2016-0003-P,2016-01-02,2016-01-04,2016-06-09,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,4th District,2nd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,30774,Black,Male,41,,Male,White,58
Public Initiated,2016-0003-P,2016-01-02,2016-01-04,2016-06-09,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,4th District,2nd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,32859,White,Male,30,,Male,White,58
Public Initiated,2016-0008-P,2015-12-30,2016-01-04,2016-05-13,DI-1,Completed,Other,FOB - Field Operations Bureau,Communications Division,Administration,Adminstrative Staff,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,30855,Black,Male,53,,Female,Black,
Public Initiated,2016-0011-N,2016-01-02,2016-01-07,2016-02-25,NFIM,Completed,NFIM,FOB - Field Operations Bureau,5th District,Task Force,A Platoon,Regular Working,,NO VIOLATION OBSERVED,,30857,White,Male,29,,Female,Black,28
Public Initiated,2016-0011-N,2016-01-02,2016-01-07,2016-02-25,NFIM,Completed,NFIM,FOB - Field Operations Bureau,5th District,Task Force,A Platoon,Regular Working,,NO VIOLATION OBSERVED,,30858,Black,Male,27,,Female,Black,28
Public Initiated,2016-0014-N,2015-06-19,2016-01-14,2016-02-25,NFIM,Completed,NFIM,FOB - Field Operations Bureau,1st District,Staff,,,Between 3pm-11pm,NO VIOLATION OBSERVED,,30861,,,,,Male,White,58
Public Initiated,2016-0012-P,,2016-01-11,2016-07-06,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Special Investigations Division,Special Victims  Section,Patrol,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,30864,Black,Female,,,Female,,
