PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2021-0378,12/01/2021,FOB - Field Operations Bureau,8th District,Staff,Staff Other,Regular Working,Between 3pm-11pm,Initial,Pending,Arresting,Good,Clear Conditions,Other,L1,,No,White,Male,41,18,,,,,,,,,,,refuse verbal commands,No
FTN2016-0215,04/14/2016,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Male,41,13,11 feet to 14 feet,Male,Black,16,Medium,5'7'' to 5'9'',No,Yes,Yes,,refuse verbal commands,No
FTN2022-0211,06/13/2022,FOB - Field Operations Bureau,6th District,6th District,Patrol,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Handcuffed Subject | Hands | CEW Deployment | Hands,L4 | L1 | L2 | L1,,No | Yes | Yes | Yes,White | Asian/Pacific Islander | Asian/Pacific Islander | White,Female | Male | Male | Male,27 | 31 | 31 | 28,5 | 4 | 4 | 2,,,,,,,,,,,refuse verbal commands,Yes | No | No | No
FTN2022-0235,07/01/2022,PIB - Public Integrity Bureau,PIB,Force Investigation Team,Investigations,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Canine (Bite),L4,,Yes,Black,Male,34,14,,,,,,,,,,,refuse verbal commands,No
FTN2022-0245,07/10/2022,PIB - Public Integrity Bureau,Force Investigation Team,Force Investigation Team,Investigations,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Canine (Bite),L4,,Yes,White,Male,29,6,,,,,,,,,,,Flight from an Officer,No
FTN2022-0266,07/21/2022,FOB - Field Operations Bureau,8th District,Second Watch,Second Watch,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (w/injury),L2,,Yes,White,Male,25,3,,,,,,,,,,,Flight from an Officer,No
FTN2022-0287,08/04/2022,PIB - Public Integrity Bureau,PIB,Force Investigation Team,Administrative Shooting Squad,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Handcuffed Subject,L1 | L4,,Yes | Yes,Black | Black,Female | Female,32 | 32,7 | 7,,,,,,,,,,,Battery on Police Officer,No | No
FTN2022-0314,08/22/2022,FOB - Field Operations Bureau,7th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW Deployment | Firearm (Exhibited),L2 | L1,,No | No,Black | Black,Male | Male,53 | 26,14 | 3,,,,,,,,,,,refuse verbal commands,No | No
FTN2021-0349,11/06/2021,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Hands | Hands,L1 | L1,,Yes | Yes,White | Hispanic,Male | Male,44 | 23,13 | 3,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2021-0350,11/07/2021,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,30,5,,,,,,,,,,,refuse verbal commands,No
